PLUS,McMullen,State,Locality,Name,Type,Found_Date,First_Ref,Latest_Ref,Cess_Date,ED_for_Size,Size_at_ED,LD_for_Size,Size_at_LD,objectid,object_thumb,object_location,reference_url
"7924","6233","SC","Charleston","Provincial Library","Co theo","1698","","1724","","1698","225","1698","225","rec7838","https://puliiif-staging.princeton.edu/iiif/2/davies%2F06233/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F06233/full/full/0/default.jpg","http://localhost:4000/items/rec7838.html"
"6995","6256","SC","Deal","Seaport Library for Sailors","Asylum","1699","","1699","","","0","","0","rec6911","https://puliiif-staging.princeton.edu/iiif/2/davies%2F06256/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F06256/full/full/0/default.jpg","http://localhost:4000/items/rec6911.html"
"6996","6266","SC","Gravesend","Seaport Library for Sailors","Asylum","1699","","1699","","","0","","0","rec6912","https://puliiif-staging.princeton.edu/iiif/2/davies%2F06266/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F06266/full/full/0/default.jpg","http://localhost:4000/items/rec6912.html"
"5952","541","CT","New Haven","Yale College","Coll","1700","","1884","","1742","2600","1875","78000","rec5873","https://puliiif-staging.princeton.edu/iiif/2/davies%2F00541/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F00541/full/full/0/default.jpg","http://localhost:4000/items/rec5873.html"
"7240","3054","MA","Plymouth","Library for Clergy","Church","1700","","1700","","","0","","0","rec7155","https://puliiif-staging.princeton.edu/iiif/2/davies%2F03054/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F03054/full/full/0/default.jpg","http://localhost:4000/items/rec7155.html"
"7250","6052","RI","","Layman&#39;s Library","Church","1700","","1700","","1700","142","1700","142","rec7165","https://puliiif-staging.princeton.edu/iiif/2/davies%2F06052/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F06052/full/full/0/default.jpg","http://localhost:4000/items/rec7165.html"
"7251","6124","RI","Newport","Newport Parochial Library of Trinity Church","Church","1700","","1791","","1700","77","1701","89","rec7166","https://puliiif-staging.princeton.edu/iiif/2/davies%2F06124/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F06124/full/full/0/default.jpg","http://localhost:4000/items/rec7166.html"
"7279","4322","NY","Albany","Bray Library","Church","1700","","1700","","1700","20","1700","20","rec7194","https://puliiif-staging.princeton.edu/iiif/2/davies%2F04322/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F04322/full/full/0/default.jpg","http://localhost:4000/items/rec7194.html"
"7399","4892","NC","Pamplier?","Parochial Library","Church","1700","","1700","","1700","148","1700","148","rec7314","https://puliiif-staging.princeton.edu/iiif/2/davies%2F04892/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F04892/full/full/0/default.jpg","http://localhost:4000/items/rec7314.html"
"7400","4891","NC","Pamplici?","Layman&#39;s Library","Church","1700","","1700","","1700","874","1700","874","rec7315","https://puliiif-staging.princeton.edu/iiif/2/davies%2F04891/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F04891/full/full/0/default.jpg","http://localhost:4000/items/rec7315.html"
"7404","4861","NC","Bath","Layman&#39;s Library","Church","1700","","1700","","1700","870","1700","870","rec7319","https://puliiif-staging.princeton.edu/iiif/2/davies%2F04861/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F04861/full/full/0/default.jpg","http://localhost:4000/items/rec7319.html"
"7407","4859","NC","Albemarle?","Laymen&#39;s Library","Church","1700","","1700","","1700","874","1700","874","rec7322","https://puliiif-staging.princeton.edu/iiif/2/davies%2F04859/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F04859/full/full/0/default.jpg","http://localhost:4000/items/rec7322.html"
"7923","4860","NC","Bath","Parochial Library","Co theo","1700","","1715","","1700","166","1700","166","rec7837","https://puliiif-staging.princeton.edu/iiif/2/davies%2F04860/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F04860/full/full/0/default.jpg","http://localhost:4000/items/rec7837.html"
"7495","42048","MD","All Hallows?","Parochial Library by Thos","Church","1701","","1701","","","0","","0","rec7410","https://puliiif-staging.princeton.edu/iiif/2/davies%2F42048/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F42048/full/full/0/default.jpg","http://localhost:4000/items/rec7410.html"
"7505","42050","MD","Pickamaxon","Parochial Library","Church","1701","","1701","","","0","","0","rec7420","https://puliiif-staging.princeton.edu/iiif/2/davies%2F42050/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F42050/full/full/0/default.jpg","http://localhost:4000/items/rec7420.html"
"7288","42073","NY","Jamaica","Parochial Library","Church","1702","","1702","","","0","","0","rec7203","https://puliiif-staging.princeton.edu/iiif/2/davies%2F42073/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F42073/full/full/0/default.jpg","http://localhost:4000/items/rec7203.html"
"7305","42067","NJ","Shrewsbury","Parochial Library","Church","1702","","1702","","","0","","0","rec7220","https://puliiif-staging.princeton.edu/iiif/2/davies%2F42067/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F42067/full/full/0/default.jpg","http://localhost:4000/items/rec7220.html"
"7306","42066","NJ","Salem","Parochial Library","Church","1702","","1702","","","0","","0","rec7221","https://puliiif-staging.princeton.edu/iiif/2/davies%2F42066/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F42066/full/full/0/default.jpg","http://localhost:4000/items/rec7221.html"
"7309","42064","NJ","Elizabethtown","Parochial Library","Church","1702","","1702","","","0","","0","rec7224","https://puliiif-staging.princeton.edu/iiif/2/davies%2F42064/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F42064/full/full/0/default.jpg","http://localhost:4000/items/rec7224.html"
"7311","42063","NJ","Burlington","Parochial Library","Church","1702","","1702","","","0","","0","rec7226","https://puliiif-staging.princeton.edu/iiif/2/davies%2F42063/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F42063/full/full/0/default.jpg","http://localhost:4000/items/rec7226.html"
"7418","42105","SC","","St. James Parochial Library","Church","1702","","1702","","","0","","0","rec7333","https://puliiif-staging.princeton.edu/iiif/2/davies%2F42105/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F42105/full/full/0/default.jpg","http://localhost:4000/items/rec7333.html"
"7518","2363","MD","","St. James Parish","Church","1703","","1703","","","0","","0","rec7433","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02363/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02363/full/full/0/default.jpg","http://localhost:4000/items/rec7433.html"
"7210","42053","MA","Braintree","Parochial Library","Church","1704","","1704","","","0","","0","rec7125","https://puliiif-staging.princeton.edu/iiif/2/davies%2F42053/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F42053/full/full/0/default.jpg","http://localhost:4000/items/rec7125.html"
"7384","42119","VA","Kikotan","Parochial Library","Church","1704","","1704","","","0","","0","rec7299","https://puliiif-staging.princeton.edu/iiif/2/davies%2F42119/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F42119/full/full/0/default.jpg","http://localhost:4000/items/rec7299.html"
"7504","42049","MD","Durham?","Durham Parish Parochial Library by Thos. Bray","Church","1704","","1704","","","0","","0","rec7419","https://puliiif-staging.princeton.edu/iiif/2/davies%2F42049/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F42049/full/full/0/default.jpg","http://localhost:4000/items/rec7419.html"
"7419","42106","SC","Santee","St. James Parochial Library","Church","1706","","1706","","","0","","0","rec7334","https://puliiif-staging.princeton.edu/iiif/2/davies%2F42106/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F42106/full/full/0/default.jpg","http://localhost:4000/items/rec7334.html"
"7411","42097","SC","St. John","Berkeley County Parochial Library","Church","1707","","1707","","","0","","0","rec7326","https://puliiif-staging.princeton.edu/iiif/2/davies%2F42097/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F42097/full/full/0/default.jpg","http://localhost:4000/items/rec7326.html"
"7403","4868","NC","Currituck","Parochial Church","Church","1708","","1708","","","0","","0","rec7318","https://puliiif-staging.princeton.edu/iiif/2/davies%2F04868/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F04868/full/full/0/default.jpg","http://localhost:4000/items/rec7318.html"
"7402","2083","NC","Chowan","Parochial Library","Church","1712","","1712","","","0","","0","rec7317","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02083/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F02083/full/full/0/default.jpg","http://localhost:4000/items/rec7317.html"
"7408","42082","NC","","Parochial Library - Urmstone&#39;s Library","Church","1712","","1712","","","0","","0","rec7323","https://puliiif-staging.princeton.edu/iiif/2/davies%2F42082/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F42082/full/full/0/default.jpg","http://localhost:4000/items/rec7323.html"
"7362","42093","PA","Radnor","Parochial Library","Church","1714","","1714","","","0","","0","rec7277","https://puliiif-staging.princeton.edu/iiif/2/davies%2F42093/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F42093/full/full/0/default.jpg","http://localhost:4000/items/rec7277.html"
"7918","3032","MA","Oxford","Oxford Library","Co theo","1719","","","1780","","0","","0","rec7832","https://puliiif-staging.princeton.edu/iiif/2/davies%2F03032/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F03032/full/full/0/default.jpg","http://localhost:4000/items/rec7832.html"
"7256","42095","RI","Providence","The S.P.G. Parochial Library","Church","1721","","1721","","","0","","0","rec7171","https://puliiif-staging.princeton.edu/iiif/2/davies%2F42095/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F42095/full/full/0/default.jpg","http://localhost:4000/items/rec7171.html"
"7424","42111","SC","Winyah","St. George Parochial Library","Church","1721","","1721","","","0","","0","rec7339","https://puliiif-staging.princeton.edu/iiif/2/davies%2F42111/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F42111/full/full/0/default.jpg","http://localhost:4000/items/rec7339.html"
"7192","42051","MA","Boston","Christ Church Parochial Library","Church","1723","","1723","","","0","","0","rec7107","https://puliiif-staging.princeton.edu/iiif/2/davies%2F42051/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F42051/full/full/0/default.jpg","http://localhost:4000/items/rec7107.html"
"7265","41096","CT","Stratford","Parochial Library","Church","1723","","1723","","","0","","0","rec7180","https://puliiif-staging.princeton.edu/iiif/2/davies%2F41096/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F41096/full/full/0/default.jpg","http://localhost:4000/items/rec7180.html"
"7397","42084","NC","Edenton","Parochial Library","Church","1723","","1723","","","0","","0","rec7312","https://puliiif-staging.princeton.edu/iiif/2/davies%2F42084/full/400,/0/default.jpg","https://puliiif-staging.princeton.edu/iiif/2/davies%2F42084/full/full/0/default.jpg","http://localhost:4000/items/rec7312.html"
