location,count,link
"germantown",11,"http://localhost:4000/browse.html#germantown"
"harrisburg",11,"http://localhost:4000/browse.html#harrisburg"
"camden",11,"http://localhost:4000/browse.html#camden"
"woonsocket",11,"http://localhost:4000/browse.html#woonsocket"
"ar",11,"http://localhost:4000/browse.html#ar"
"lewiston",11,"http://localhost:4000/browse.html#lewiston"
"geneva",11,"http://localhost:4000/browse.html#geneva"
"oakland",11,"http://localhost:4000/browse.html#oakland"
"dedham",11,"http://localhost:4000/browse.html#dedham"
"nm",11,"http://localhost:4000/browse.html#nm"
"hi",11,"http://localhost:4000/browse.html#hi"
"litchfield",11,"http://localhost:4000/browse.html#litchfield"
"bedford",11,"http://localhost:4000/browse.html#bedford"
"atlanta",11,"http://localhost:4000/browse.html#atlanta"
"peoria",10,"http://localhost:4000/browse.html#peoria"
"poughkeepsie",10,"http://localhost:4000/browse.html#poughkeepsie"
"cornwall",10,"http://localhost:4000/browse.html#cornwall"
"woodstock",10,"http://localhost:4000/browse.html#woodstock"
"berea",10,"http://localhost:4000/browse.html#berea"
"newburyport",10,"http://localhost:4000/browse.html#newburyport"
"stockton",10,"http://localhost:4000/browse.html#stockton"
"new bedford",10,"http://localhost:4000/browse.html#new%20bedford"
"gettysburg",10,"http://localhost:4000/browse.html#gettysburg"
"plainfield",10,"http://localhost:4000/browse.html#plainfield"
"vernon",10,"http://localhost:4000/browse.html#vernon"
"mt. pleasant",10,"http://localhost:4000/browse.html#mt.%20pleasant"
"savannah",10,"http://localhost:4000/browse.html#savannah"
"new london",10,"http://localhost:4000/browse.html#new%20london"
"albion",10,"http://localhost:4000/browse.html#albion"
"brunswick",10,"http://localhost:4000/browse.html#brunswick"
"fulton",10,"http://localhost:4000/browse.html#fulton"
"roxbury",9,"http://localhost:4000/browse.html#roxbury"
"hampton",9,"http://localhost:4000/browse.html#hampton"
"windham",9,"http://localhost:4000/browse.html#windham"
"sterling",9,"http://localhost:4000/browse.html#sterling"
"new hampton",9,"http://localhost:4000/browse.html#new%20hampton"
"norwich",9,"http://localhost:4000/browse.html#norwich"
"raleigh",9,"http://localhost:4000/browse.html#raleigh"
"brownsville",9,"http://localhost:4000/browse.html#brownsville"
"denver",9,"http://localhost:4000/browse.html#denver"
"sacramento",9,"http://localhost:4000/browse.html#sacramento"
"wabash",9,"http://localhost:4000/browse.html#wabash"
"pottsville",9,"http://localhost:4000/browse.html#pottsville"
"honolulu",9,"http://localhost:4000/browse.html#honolulu"
"lincoln",9,"http://localhost:4000/browse.html#lincoln"
"nashua",9,"http://localhost:4000/browse.html#nashua"
"warwick",9,"http://localhost:4000/browse.html#warwick"
"woburn",9,"http://localhost:4000/browse.html#woburn"
"lafayette",9,"http://localhost:4000/browse.html#lafayette"
"schenectady",9,"http://localhost:4000/browse.html#schenectady"
"exeter",9,"http://localhost:4000/browse.html#exeter"
"bethlehem",9,"http://localhost:4000/browse.html#bethlehem"
"goshen",9,"http://localhost:4000/browse.html#goshen"
"houston",9,"http://localhost:4000/browse.html#houston"
"erie",9,"http://localhost:4000/browse.html#erie"
"annapolis",9,"http://localhost:4000/browse.html#annapolis"
"westminster",8,"http://localhost:4000/browse.html#westminster"
"randolph",8,"http://localhost:4000/browse.html#randolph"
"iowa city",8,"http://localhost:4000/browse.html#iowa%20city"
"stockbridge",8,"http://localhost:4000/browse.html#stockbridge"
"delaware",8,"http://localhost:4000/browse.html#delaware"
"nv",8,"http://localhost:4000/browse.html#nv"
"nantucket",8,"http://localhost:4000/browse.html#nantucket"
"oberlin",8,"http://localhost:4000/browse.html#oberlin"
"topeka",8,"http://localhost:4000/browse.html#topeka"
"pleasant",8,"http://localhost:4000/browse.html#pleasant"
"taunton",8,"http://localhost:4000/browse.html#taunton"
"bardstown",8,"http://localhost:4000/browse.html#bardstown"
"marlborough",8,"http://localhost:4000/browse.html#marlborough"
"macon",8,"http://localhost:4000/browse.html#macon"
"mt",8,"http://localhost:4000/browse.html#mt"
"dorchester",8,"http://localhost:4000/browse.html#dorchester"
"abington",8,"http://localhost:4000/browse.html#abington"
"clarksville",8,"http://localhost:4000/browse.html#clarksville"
"aurora",8,"http://localhost:4000/browse.html#aurora"
"sparta",8,"http://localhost:4000/browse.html#sparta"
"allegheny",8,"http://localhost:4000/browse.html#allegheny"
"chelsea",8,"http://localhost:4000/browse.html#chelsea"
"northborough",8,"http://localhost:4000/browse.html#northborough"
"lewisburg",8,"http://localhost:4000/browse.html#lewisburg"
"elizabeth",8,"http://localhost:4000/browse.html#elizabeth"
"brookfield",8,"http://localhost:4000/browse.html#brookfield"
"leavenworth",8,"http://localhost:4000/browse.html#leavenworth"
"new albany",8,"http://localhost:4000/browse.html#new%20albany"
"newburgh",8,"http://localhost:4000/browse.html#newburgh"
"fayette",8,"http://localhost:4000/browse.html#fayette"
"cass",8,"http://localhost:4000/browse.html#cass"
"syracuse",8,"http://localhost:4000/browse.html#syracuse"
"decatur",8,"http://localhost:4000/browse.html#decatur"
"meadville",8,"http://localhost:4000/browse.html#meadville"
"hillsdale",8,"http://localhost:4000/browse.html#hillsdale"
"allentown",8,"http://localhost:4000/browse.html#allentown"
"shelbyville",8,"http://localhost:4000/browse.html#shelbyville"
"ottawa",8,"http://localhost:4000/browse.html#ottawa"
"adrian",8,"http://localhost:4000/browse.html#adrian"
"northampton",8,"http://localhost:4000/browse.html#northampton"
"lynn",8,"http://localhost:4000/browse.html#lynn"
"urbana",8,"http://localhost:4000/browse.html#urbana"
"granville",8,"http://localhost:4000/browse.html#granville"
"east windsor",7,"http://localhost:4000/browse.html#east%20windsor"
"posey",7,"http://localhost:4000/browse.html#posey"
"tiffin",7,"http://localhost:4000/browse.html#tiffin"
"mt. vernon",7,"http://localhost:4000/browse.html#mt.%20vernon"
"jamestown",7,"http://localhost:4000/browse.html#jamestown"
"waterville",7,"http://localhost:4000/browse.html#waterville"
"natick",7,"http://localhost:4000/browse.html#natick"
"keene",7,"http://localhost:4000/browse.html#keene"
"guilford",7,"http://localhost:4000/browse.html#guilford"
"grand rapids",7,"http://localhost:4000/browse.html#grand%20rapids"
"bridgewater",7,"http://localhost:4000/browse.html#bridgewater"
"fremont",7,"http://localhost:4000/browse.html#fremont"
"college hill",7,"http://localhost:4000/browse.html#college%20hill"
"danvers",7,"http://localhost:4000/browse.html#danvers"
"sd",7,"http://localhost:4000/browse.html#sd"
"omaha",7,"http://localhost:4000/browse.html#omaha"
"wilton",7,"http://localhost:4000/browse.html#wilton"
"fayetteville",7,"http://localhost:4000/browse.html#fayetteville"
"elmira",7,"http://localhost:4000/browse.html#elmira"
"beverly",7,"http://localhost:4000/browse.html#beverly"
"petersburg",7,"http://localhost:4000/browse.html#petersburg"
"fitchburg",7,"http://localhost:4000/browse.html#fitchburg"
"detroit",7,"http://localhost:4000/browse.html#detroit"
"bradford",7,"http://localhost:4000/browse.html#bradford"
"berlin",7,"http://localhost:4000/browse.html#berlin"
"vincennes",7,"http://localhost:4000/browse.html#vincennes"
"marshall",7,"http://localhost:4000/browse.html#marshall"
"marysville",7,"http://localhost:4000/browse.html#marysville"
"warsaw",7,"http://localhost:4000/browse.html#warsaw"
"butler",7,"http://localhost:4000/browse.html#butler"
"brown",7,"http://localhost:4000/browse.html#brown"
"arlington",7,"http://localhost:4000/browse.html#arlington"
"lunenburg",7,"http://localhost:4000/browse.html#lunenburg"
"lee",7,"http://localhost:4000/browse.html#lee"
"galesburg",7,"http://localhost:4000/browse.html#galesburg"
"stillwater",7,"http://localhost:4000/browse.html#stillwater"
"sugar creek",7,"http://localhost:4000/browse.html#sugar%20creek"
"thomaston",7,"http://localhost:4000/browse.html#thomaston"
"wheeling",7,"http://localhost:4000/browse.html#wheeling"
"evanston",6,"http://localhost:4000/browse.html#evanston"
"eaton",6,"http://localhost:4000/browse.html#eaton"
"tuscaloosa",6,"http://localhost:4000/browse.html#tuscaloosa"
"maysville",6,"http://localhost:4000/browse.html#maysville"
"cumberland",6,"http://localhost:4000/browse.html#cumberland"
"little rock",6,"http://localhost:4000/browse.html#little%20rock"
"cheshire",6,"http://localhost:4000/browse.html#cheshire"
"essex",6,"http://localhost:4000/browse.html#essex"
"greensboro",6,"http://localhost:4000/browse.html#greensboro"
"santa barbara",6,"http://localhost:4000/browse.html#santa%20barbara"
"morristown",6,"http://localhost:4000/browse.html#morristown"
"highland",6,"http://localhost:4000/browse.html#highland"
"ft. wayne",6,"http://localhost:4000/browse.html#ft.%20wayne"
"lyons",6,"http://localhost:4000/browse.html#lyons"
"dubuque",6,"http://localhost:4000/browse.html#dubuque"
"anderson",6,"http://localhost:4000/browse.html#anderson"
"santa rosa",6,"http://localhost:4000/browse.html#santa%20rosa"
"alton",6,"http://localhost:4000/browse.html#alton"
"st. charles",6,"http://localhost:4000/browse.html#st.%20charles"
"south hanover",6,"http://localhost:4000/browse.html#south%20hanover"
"newbury",6,"http://localhost:4000/browse.html#newbury"
"montpelier",6,"http://localhost:4000/browse.html#montpelier"
"akron",6,"http://localhost:4000/browse.html#akron"
"peterborough",6,"http://localhost:4000/browse.html#peterborough"
"waltham",6,"http://localhost:4000/browse.html#waltham"
"brookville",6,"http://localhost:4000/browse.html#brookville"
"boone",6,"http://localhost:4000/browse.html#boone"
"canandaigua",6,"http://localhost:4000/browse.html#canandaigua"
"mobile",6,"http://localhost:4000/browse.html#mobile"
"lagrange",6,"http://localhost:4000/browse.html#lagrange"
"rutland",6,"http://localhost:4000/browse.html#rutland"
"stafford",6,"http://localhost:4000/browse.html#stafford"
"swarthmore",6,"http://localhost:4000/browse.html#swarthmore"
"smithfield",6,"http://localhost:4000/browse.html#smithfield"
"belleville",6,"http://localhost:4000/browse.html#belleville"
"red wing",6,"http://localhost:4000/browse.html#red%20wing"
"weston",6,"http://localhost:4000/browse.html#weston"
"waterloo",6,"http://localhost:4000/browse.html#waterloo"
"kingston",6,"http://localhost:4000/browse.html#kingston"
"salisbury",6,"http://localhost:4000/browse.html#salisbury"
"paris",6,"http://localhost:4000/browse.html#paris"
"bridgeport",6,"http://localhost:4000/browse.html#bridgeport"
"westfield",6,"http://localhost:4000/browse.html#westfield"
"galveston",6,"http://localhost:4000/browse.html#galveston"
"new castle",6,"http://localhost:4000/browse.html#new%20castle"
"logansport",6,"http://localhost:4000/browse.html#logansport"
"frankfort",6,"http://localhost:4000/browse.html#frankfort"
"williamsport",6,"http://localhost:4000/browse.html#williamsport"
"johnson",6,"http://localhost:4000/browse.html#johnson"
"monticello",6,"http://localhost:4000/browse.html#monticello"
"danbury",6,"http://localhost:4000/browse.html#danbury"
"montgomery",6,"http://localhost:4000/browse.html#montgomery"
"los angeles",6,"http://localhost:4000/browse.html#los%20angeles"
"saco",6,"http://localhost:4000/browse.html#saco"
"somerville",6,"http://localhost:4000/browse.html#somerville"
"middleborough",6,"http://localhost:4000/browse.html#middleborough"
"noble",6,"http://localhost:4000/browse.html#noble"
"independence",6,"http://localhost:4000/browse.html#independence"
"d.c.",6,"http://localhost:4000/browse.html#d.c."
"east bridgewater",6,"http://localhost:4000/browse.html#east%20bridgewater"
"derby",6,"http://localhost:4000/browse.html#derby"
"greencastle",6,"http://localhost:4000/browse.html#greencastle"
"dublin",6,"http://localhost:4000/browse.html#dublin"
"san jose",6,"http://localhost:4000/browse.html#san%20jose"
"chapel hill",6,"http://localhost:4000/browse.html#chapel%20hill"
"des moines",6,"http://localhost:4000/browse.html#des%20moines"
"birmingham",6,"http://localhost:4000/browse.html#birmingham"
"spencer",5,"http://localhost:4000/browse.html#spencer"
"baton rouge",5,"http://localhost:4000/browse.html#baton%20rouge"
"batavia",5,"http://localhost:4000/browse.html#batavia"
"covington",5,"http://localhost:4000/browse.html#covington"
"pike",5,"http://localhost:4000/browse.html#pike"
"helena",5,"http://localhost:4000/browse.html#helena"
"winona",5,"http://localhost:4000/browse.html#winona"
"haverford",5,"http://localhost:4000/browse.html#haverford"
"london",5,"http://localhost:4000/browse.html#london"
"logan",5,"http://localhost:4000/browse.html#logan"
"sandusky",5,"http://localhost:4000/browse.html#sandusky"
"santa clara",5,"http://localhost:4000/browse.html#santa%20clara"
"hoboken",5,"http://localhost:4000/browse.html#hoboken"
"williamsburg",5,"http://localhost:4000/browse.html#williamsburg"
"greenwich",5,"http://localhost:4000/browse.html#greenwich"
"carrollton",5,"http://localhost:4000/browse.html#carrollton"
"lenox",5,"http://localhost:4000/browse.html#lenox"
"hiram",5,"http://localhost:4000/browse.html#hiram"
"westerville",5,"http://localhost:4000/browse.html#westerville"
"white river",5,"http://localhost:4000/browse.html#white%20river"
"st. mary's",5,"http://localhost:4000/browse.html#st.%20mary's"
"ak",5,"http://localhost:4000/browse.html#ak"
"mendota",5,"http://localhost:4000/browse.html#mendota"
"kansas city",5,"http://localhost:4000/browse.html#kansas%20city"
"littleton",5,"http://localhost:4000/browse.html#littleton"
"trinity",5,"http://localhost:4000/browse.html#trinity"
"olympia",5,"http://localhost:4000/browse.html#olympia"
"leominster",5,"http://localhost:4000/browse.html#leominster"
"huntington",5,"http://localhost:4000/browse.html#huntington"
"ripon",5,"http://localhost:4000/browse.html#ripon"
"id",5,"http://localhost:4000/browse.html#id"
"norwalk",5,"http://localhost:4000/browse.html#norwalk"
"gloucester",5,"http://localhost:4000/browse.html#gloucester"
"berkeley",5,"http://localhost:4000/browse.html#berkeley"
"mercersburg",5,"http://localhost:4000/browse.html#mercersburg"
"rockford",5,"http://localhost:4000/browse.html#rockford"
"gilmanton",5,"http://localhost:4000/browse.html#gilmanton"
"wethersfield",5,"http://localhost:4000/browse.html#wethersfield"
"olive",5,"http://localhost:4000/browse.html#olive"
"canonsburg",5,"http://localhost:4000/browse.html#canonsburg"
"evansville",5,"http://localhost:4000/browse.html#evansville"
"woodbury",5,"http://localhost:4000/browse.html#woodbury"
"flushing",5,"http://localhost:4000/browse.html#flushing"
"harrodsburg",5,"http://localhost:4000/browse.html#harrodsburg"
"saratoga springs",5,"http://localhost:4000/browse.html#saratoga%20springs"
"monmouth",5,"http://localhost:4000/browse.html#monmouth"
"west point",5,"http://localhost:4000/browse.html#west%20point"
"gambier",5,"http://localhost:4000/browse.html#gambier"
"rockville",5,"http://localhost:4000/browse.html#rockville"
"chatham",5,"http://localhost:4000/browse.html#chatham"
"bolton",5,"http://localhost:4000/browse.html#bolton"
"scott",5,"http://localhost:4000/browse.html#scott"
"tippecanoe",5,"http://localhost:4000/browse.html#tippecanoe"
"north brookfield",5,"http://localhost:4000/browse.html#north%20brookfield"
"upper alton",5,"http://localhost:4000/browse.html#upper%20alton"
"leroy",5,"http://localhost:4000/browse.html#leroy"
"crawfordsville",5,"http://localhost:4000/browse.html#crawfordsville"
"maryville",5,"http://localhost:4000/browse.html#maryville"
"templeton",5,"http://localhost:4000/browse.html#templeton"
"taylor",5,"http://localhost:4000/browse.html#taylor"
"bethany",5,"http://localhost:4000/browse.html#bethany"
